id,resp_a_reward,resp_b_reward,winner
3923596825,-1.3984375,-1.640625,0
3923693512,-0.72265625,-0.671875,2
3923786288,-0.7578125,-0.89453125,2
3923800604,-1.6171875,1.265625,1
3923896339,-1.0234375,0.53515625,1
3924046251,-0.81640625,-0.81640625,2
3924120669,-0.004241943359375,-0.765625,0
3924291651,-0.142578125,-1.640625,0
3924357135,-0.78125,-0.78125,2
3924495914,-0.7421875,-0.75,2
3924511157,-1.421875,-1.21875,1
3924511537,-0.1806640625,-0.98828125,0
3924525925,-1.40625,-1.1171875,1
3924800120,-1.328125,-0.3046875,1
3924881488,0.29296875,-0.75,0
3924930331,-1.1328125,-0.1044921875,1
3924947884,-0.3671875,-0.90234375,0
3925281078,0.24609375,-0.875,0
3925534792,-0.70703125,-0.70703125,2
3925564782,0.173828125,-0.5,0
3925589711,-0.49609375,-0.486328125,0
3925606043,-1.421875,-1.3515625,2
3925623984,0.80078125,-0.453125,0
3925740698,-0.6640625,-0.65625,2
3925763044,-0.0830078125,0.0277099609375,2
3925927738,-1.2109375,-1.0234375,2
3926005627,1.109375,-0.89453125,0
3926018676,-0.9453125,-0.6875,1
3926109552,1.4609375,-0.53515625,0
3926215000,1.28125,-0.1337890625,0
3926368860,-1.7109375,-0.41015625,1
3926397598,-0.875,-0.89453125,0
3926605373,-0.07470703125,1.3515625,1
3926621962,-1.515625,-0.474609375,1
3926699182,-0.4921875,0.37109375,1
3926745317,0.25,0.4921875,0
3927060136,-1.3046875,1.625,1
3927117189,-1.5390625,-0.859375,1
3927121071,-1.4140625,-1.3359375,2
3927235213,-1.5390625,-1.65625,2
3927292705,-1.453125,0.267578125,1
3927338647,0.54296875,-0.2490234375,0
3927372634,0.62109375,-0.2060546875,0
3927392301,-0.88671875,-0.875,2
3927577134,-1.2265625,-1.421875,0
3927792368,-0.91015625,-0.8359375,2
3927825495,0.19140625,0.404296875,2
3927888923,-0.80859375,-0.8359375,2
3927911727,0.0849609375,-0.40234375,0
3927960897,0.3046875,-0.92578125,0
3928005292,-0.62890625,0.421875,1
3928046501,-0.72265625,-1.03125,0
3928081453,-0.1552734375,-0.63671875,2
3928092928,-1.46875,1.5390625,1
3928110728,-0.78125,-0.99609375,0
3928151060,-0.41015625,-0.8515625,0
3928176690,-1.34375,-1.0390625,1
3928255529,-0.7578125,-0.71484375,2
3928280292,-1.5078125,-1.453125,0
3928298685,-0.26953125,1.96875,1
3928483276,2.140625,0.71484375,0
3928528946,-0.01275634765625,-0.2490234375,2
3928532102,-0.59765625,-0.63671875,2
3928546352,-0.80078125,-0.7421875,2
3928738806,-1.1328125,-1.2265625,0
3928806940,-1.015625,0.69921875,1
3928925752,-1.4375,0.51953125,1
3928930075,-0.5625,-0.60546875,2
3928977997,-0.41015625,0.00848388671875,2
3929023843,-0.71484375,-0.765625,2
3929088879,0.458984375,-0.96875,0
3929287124,-0.474609375,-0.54296875,2
3929383677,1.7890625,-0.7421875,0
3929410933,-0.78125,-0.82421875,2
3929441794,-0.70703125,-1.1328125,0
3929596349,-0.99609375,0.98046875,1
3929613107,0.625,-1.71875,0
3929690893,-1.15625,-1.265625,2
3929732235,-0.79296875,-0.7421875,2
3929748901,-0.9453125,-0.5625,1
3929808010,-1.078125,-1.015625,0
3929812193,-0.98828125,-0.96875,2
3929854020,-0.51953125,-0.30078125,2
3929932580,-1.34375,-1.03125,1
3929971872,-1.015625,-1.015625,2
3930006001,-0.859375,-0.859375,2
3930126732,-1.515625,-1.5,2
3930132293,0.447265625,-0.45703125,0
3930171451,-1.125,-1.140625,0
3930226372,-1.6953125,-1.6484375,2
3930236098,-1.609375,-1.8125,2
3930314771,-0.0234375,-1.0546875,0
3930336590,0.2294921875,-1.390625,0
3930379932,-0.7578125,-0.81640625,2
3930676060,-0.82421875,-1.0625,0
3930769266,-1.8671875,0.5390625,1
3930771630,-0.9609375,-1.0625,2
3930882562,0.337890625,-1.1015625,0
3930943946,-0.7734375,-1.015625,0
3930961243,1.1953125,0.6640625,0
3930989075,0.248046875,-0.36328125,0
3931024143,2.21875,0.60546875,0
3931400861,-0.78125,-0.80078125,2
3931418201,-0.78125,-0.80859375,2
3931430687,2.015625,1.8984375,2
3931611097,0.0830078125,-0.25390625,0
3931638227,1.0234375,-1.65625,0
3931657115,-1.1640625,0.59765625,1
3931825199,-0.7734375,-0.79296875,2
3931961965,-0.3515625,-0.69921875,2
3932296927,-0.9375,-0.88671875,2
3932409423,-1.296875,0.62109375,1
3932467319,-1.7109375,1.3359375,1
3932669744,0.81640625,0.3671875,0
3932670725,-0.69921875,-0.7421875,2
3932697545,-0.5859375,-0.7578125,0
3932711533,-0.859375,-0.08740234375,1
3932788028,-0.6796875,-1.25,0
3932821574,-1.125,-0.1298828125,1
3932907465,0.1259765625,-1.1328125,0
3932917130,-0.8515625,-0.6875,1
3933124938,1.1484375,-0.453125,0
3933165989,1.4375,0.10009765625,0
3933325670,1.1328125,1.390625,1
3933351710,-1.4375,2.71875,1
3933361704,-0.048828125,-0.40625,0
3933366448,2.671875,-0.423828125,0
3933467168,-0.283203125,-0.6640625,0
3933545762,-1.2265625,0.59765625,1
3933558703,-0.3984375,0.52734375,1
3933629971,-0.72265625,-0.69921875,2
3933657439,-0.7734375,-0.7578125,2
3933761309,-0.240234375,-1.609375,0
3933792614,-1.1484375,-1.1015625,2
3933808307,-0.91796875,-0.21484375,1
3933844503,-0.73046875,-0.7421875,2
3933864949,0.06787109375,0.373046875,2
3933914412,0.69921875,-1.6171875,0
